Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
20-OCT-2023,44883.85,44911.1,44464.85,44547.65,236635366,6611.03
23-OCT-2023,44552.8,44604.15,43574.55,43684.75,265575016,6691.55
25-OCT-2023,43762.45,44022.85,43144.15,43418.65,227009129,6614.25
26-OCT-2023,43226.3,43228.4,42539.15,42994.5,363518453,8302.75
27-OCT-2023,43257.75,43939.4,43252.5,43837.5,264324159,7788.85
30-OCT-2023,43923.85,43982.85,43462.85,43906.6,195120751,5996.81
31-OCT-2023,44133.9,44183.05,43890.95,44019.1,243453177,7750.21
01-NOV-2023,44122.15,44216.25,43718.65,43783.15,254039390,6901.65
02-NOV-2023,44114.75,44478.35,44086.3,44451.1,255810676,5988.1
03-NOV-2023,44691.35,44907.9,44613.35,44885,412605267,8485.16
06-NOV-2023,45061.8,45269.35,44985.35,45227.45,387682179,8691.28
07-NOV-2023,45302.5,45641.15,45137.85,45593.3,383088186,9629.8
08-NOV-2023,45798.85,45912.2,45695.65,45894.9,279327574,7740.5
09-NOV-2023,45996.2,46011.25,45628.15,45660.4,208268256,6452.03
10-NOV-2023,45568.65,45767.5,45378.5,45724.2,196494308,7018.31
12-NOV-2023,46070.3,46090.1,45897.1,45942.95,40475360,1082.48
13-NOV-2023,45898.2,46009.85,45739.65,45986.7,213102247,5281.9
15-NOV-2023,46348.05,46478.55,46155.05,46425.55,272419486,7673.6
16-NOV-2023,46486.45,46691.25,46330.25,46591.55,212805283,6388.16
17-NOV-2023,46510.9,46870.75,46422.9,46838.25,271353389,8402.31
20-NOV-2023,46943.55,46948.55,46640.45,46716.9,182039573,5564.56
21-NOV-2023,46887.6,46935.15,46683.95,46718.25,177333661,5760.47
22-NOV-2023,46768.75,46851.15,46367.85,46541.15,186315952,5174.89
23-NOV-2023,46651.4,46781.4,46549.45,46675.55,161369813,5040.39
24-NOV-2023,46762.8,46819,46578.1,46607.75,194504805,6677.14
28-NOV-2023,46793.3,47216.25,46718.6,47161.95,358569701,12035.33
29-NOV-2023,47471.95,47556.4,47414.2,47487.5,392428661,12755.32
30-NOV-2023,47550.5,48082.95,47382.7,48020.4,623719961,18521.11
01-DEC-2023,48373.1,48565.55,48197.45,48486.4,388261860,10615.01
04-DEC-2023,49347.55,49473.1,49071.4,49424.8,518255116,14750.73
05-DEC-2023,49568,49956.6,49405.7,49937.35,476945748,19165.24
06-DEC-2023,50223.45,50621.8,50184.35,50517.35,476594418,22914.68
07-DEC-2023,50753.2,50987.25,50544.35,50920.6,505265748,20024.76
08-DEC-2023,51197.7,51289.55,50079,50608.75,400016045,15617.8
11-DEC-2023,50770.1,51172.95,50696.85,51139.65,318726747,11508.42
12-DEC-2023,51324.15,51352.45,50583.9,50813.2,267597643,11116.59
13-DEC-2023,50984.65,51321.6,50687.45,51273.5,318417111,12896.37
14-DEC-2023,51651.25,52004.7,51540.75,51925.45,352070759,13112.48
15-DEC-2023,52191.6,52210.55,51836.25,51957.35,358452712,12825.59
18-DEC-2023,52090,52369,51796.75,52301,336877671,13885.64
19-DEC-2023,52481.85,52515.8,51917.7,52387.2,308333220,12719.06
20-DEC-2023,52734.65,52823.4,50688,50844.6,393963257,15629.18
21-DEC-2023,50385.35,51594.25,50102.95,51520.65,325113812,12486.81
22-DEC-2023,51845.95,51999.5,51514.95,51944,332949161,11511.03
26-DEC-2023,52201.05,52483.3,52113.2,52434.85,281167603,9076.3
27-DEC-2023,52699.35,52875,52428.95,52680.2,263792535,9532.43
28-DEC-2023,52906.75,53038.65,52734.8,52964.1,515341622,13662.5
29-DEC-2023,53033.55,53388.9,52845.05,53344.8,366472016,10392.48
01-JAN-2024,53551.6,53648.95,53297.9,53409.8,289388883,8298.12
02-JAN-2024,53586.35,53604.4,52605.2,53277.5,310392600,9717.96
03-JAN-2024,53408.35,53842.1,53225.2,53680.35,382533455,16489.75
04-JAN-2024,53908.95,54434.2,53897.8,54359.95,299089963,11785.98
05-JAN-2024,54582.05,54687.6,53949,54295.25,339192999,13463.46
08-JAN-2024,54450,54450,53670,53728.9,286180407,10421.97
09-JAN-2024,54115.2,54297.6,53891.65,53960.65,248184674,10069.22
10-JAN-2024,53997.65,54131.95,53490.05,54077.65,269700864,9904.68
11-JAN-2024,54355.25,54675.55,54318.9,54595.6,293715289,10361.13
12-JAN-2024,54847.6,54852.9,54587.1,54742.9,310809186,9538.3
15-JAN-2024,55013.2,55025.6,54530.6,54936.65,284775438,9906.54
16-JAN-2024,55013,55056.75,54515,54816.9,337642014,11899.48
17-JAN-2024,54478.65,54813.1,54116.55,54206.25,410804424,12956.75
18-JAN-2024,54052.55,54150.95,52766.3,53948.4,381326021,12272.06
19-JAN-2024,54297.25,54741.8,54250.95,54709,353182530,11077.58
